Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
7,7,2013,20,26,5,BEG,5.16,20,3.87,Flag,17,26,10,1,0,0,0,0,0,14,2,5,13,2,4,2,3,834,13,15
7,7,2013,20,26,19,BEG,4.62,15,3.24,NF,18,21,7,8,0,0,0,0,0,20,0,0,18,0,0,2,2,626,11,12
7,7,2013,20,26,26,BEG,5.88,21,3.57,Flag,14,23,15,2,0,0,0,0,0,19,3,5,18,3,4,4,2,750,15,17
7,7,2013,20,26,56,BEG,4.79,19,3.96,Flag,19,22,9,4,0,0,0,0,0,17,2,2,16,2,2,2,2,599,12,14
7,7,2013,20,27,11,BEG,3.61,11,3.04,NF,21,18,11,4,0,0,0,0,0,17,0,0,14,0,0,2,2,430,8,8
7,7,2013,20,27,18,BEG,4.86,18,3.70,Flag,17,24,8,4,1,0,0,0,0,21,1,3,19,1,2,3,2,597,15,16
7,7,2013,20,28,21,BEG,3.26,6,1.84,Flag,24,19,5,6,0,0,0,0,0,5,1,3,4,1,2,2,4,477,6,6
8,7,2013,20,15,1,BEG,4.67,16,3.42,Flag,18,24,10,2,0,0,0,0,0,10,2,7,9,2,5,3,6,646,11,11
8,7,2013,20,15,46,BEG,3.02,10,3.31,NF,24,17,7,4,1,1,0,0,0,11,0,0,10,0,0,1,3,411,9,10
8,7,2013,20,16,11,BEG,4.64,19,4.09,NF,18,20,13,3,0,0,0,0,0,20,0,0,19,0,0,1,3,720,15,18
8,7,2013,20,16,23,BEG,4.59,20,4.35,NF,15,17,19,2,1,0,0,0,0,23,0,0,22,0,0,2,4,772,16,19
8,7,2013,20,16,36,BEG,7.56,31,4.10,Flag,9,29,11,5,0,0,0,0,0,25,3,8,24,3,7,3,1,960,21,20
8,7,2013,20,17,9,BEG,5.47,22,4.02,Flag,14,24,13,3,0,0,0,0,0,15,2,7,14,2,7,4,2,649,15,17
